service_name,status,updated_time
AUTH,DOWN,2025-04-29 23:21:00
HTTP,DOWN,2025-04-18 01:02:00
AUTH,UP,2025-03-24 04:37:00
MAIL,UP,2025-04-09 05:29:00
FTP,DOWN,2025-04-28 19:00:00
DB,DOWN,2025-04-06 20:11:00
MAIL,DOWN,2025-04-10 01:12:00
MAIL,UP,2025-04-03 22:52:00
FTP,DOWN,2025-04-29 20:45:00
HTTP,DOWN,2025-04-22 06:47:00
MAIL,UP,2025-04-06 08:10:00
FTP,DOWN,2025-05-02 22:43:00
AUTH,UP,2025-04-05 20:10:00
DB,DOWN,2025-04-25 16:38:00
FTP,DOWN,2025-03-08 09:47:00
DB,UP,2025-04-06 16:33:00
MAIL,UP,2025-04-04 11:28:00
DB,DOWN,2025-05-10 22:50:00
FTP,DOWN,2025-03-10 20:53:00
MAIL,UP,2025-03-18 23:13:00
FTP,UP,2025-03-18 02:34:00
MAIL,DOWN,2025-04-03 20:07:00
DB,DOWN,2025-04-23 22:50:00
DB,UP,2025-03-28 23:40:00
AUTH,UP,2025-05-10 11:16:00
FTP,UP,2025-03-17 18:25:00
HTTP,DOWN,2025-03-22 09:56:00
DB,UP,2025-04-15 21:23:00
DB,UP,2025-03-22 20:03:00
HTTP,DOWN,2025-04-12 09:32:00
DB,UP,2025-04-24 20:32:00
AUTH,DOWN,2025-05-13 03:54:00
AUTH,DOWN,2025-04-11 04:05:00
DB,DOWN,2025-03-10 14:00:00
AUTH,UP,2025-05-08 13:22:00
FTP,DOWN,2025-05-08 23:04:00
AUTH,UP,2025-04-02 12:51:00
FTP,UP,2025-04-15 23:16:00
DB,UP,2025-04-10 04:17:00
MAIL,DOWN,2025-03-30 13:28:00
FTP,DOWN,2025-05-06 01:33:00
DB,DOWN,2025-04-19 16:16:00
MAIL,DOWN,2025-03-21 17:35:00
DB,UP,2025-04-07 03:02:00
FTP,UP,2025-03-08 12:12:00
DB,UP,2025-03-16 23:28:00
FTP,UP,2025-03-19 17:35:00
FTP,UP,2025-04-01 14:29:00
MAIL,DOWN,2025-03-12 19:13:00
FTP,UP,2025-04-15 06:26:00
FTP,UP,2025-04-23 00:41:00
FTP,UP,2025-03-22 17:31:00
MAIL,DOWN,2025-04-06 16:38:00
FTP,DOWN,2025-03-11 02:40:00
HTTP,DOWN,2025-03-13 22:19:00
FTP,UP,2025-03-20 15:48:00
HTTP,DOWN,2025-03-11 15:42:00
AUTH,DOWN,2025-04-07 19:32:00
FTP,DOWN,2025-04-06 07:57:00
FTP,UP,2025-03-25 23:08:00
AUTH,DOWN,2025-03-17 11:09:00
AUTH,UP,2025-03-13 13:42:00
MAIL,UP,2025-04-10 20:34:00
MAIL,UP,2025-03-25 13:17:00
HTTP,DOWN,2025-03-16 13:14:00
MAIL,UP,2025-03-29 23:24:00
FTP,DOWN,2025-03-28 12:50:00
AUTH,UP,2025-04-02 02:32:00
AUTH,UP,2025-04-06 12:25:00
MAIL,DOWN,2025-04-08 09:53:00
AUTH,UP,2025-04-09 18:42:00
DB,DOWN,2025-04-06 12:39:00
AUTH,DOWN,2025-04-23 22:42:00
FTP,UP,2025-04-09 04:03:00
DB,DOWN,2025-03-17 02:08:00
HTTP,UP,2025-05-14 11:05:00
DB,UP,2025-05-15 01:03:00
FTP,DOWN,2025-05-15 11:28:00
DB,UP,2025-04-06 00:07:00
MAIL,UP,2025-04-12 16:18:00
MAIL,UP,2025-04-09 17:57:00
FTP,DOWN,2025-04-24 09:57:00
FTP,UP,2025-05-06 23:57:00
FTP,UP,2025-04-21 21:58:00
DB,DOWN,2025-05-05 09:28:00
HTTP,DOWN,2025-04-10 03:39:00
FTP,UP,2025-04-07 13:46:00
AUTH,DOWN,2025-04-26 21:45:00
DB,DOWN,2025-03-20 21:27:00
HTTP,UP,2025-04-09 15:13:00
AUTH,UP,2025-04-06 11:22:00
AUTH,DOWN,2025-04-26 11:57:00
HTTP,DOWN,2025-05-03 19:23:00
AUTH,UP,2025-04-08 22:30:00
FTP,UP,2025-03-13 16:32:00
MAIL,DOWN,2025-05-03 06:00:00
DB,DOWN,2025-04-04 21:40:00
AUTH,DOWN,2025-05-07 17:54:00
MAIL,UP,2025-03-18 02:16:00
DB,UP,2025-05-06 21:05:00
AUTH,DOWN,2025-05-03 23:07:00
FTP,DOWN,2025-03-21 09:21:00
FTP,DOWN,2025-05-01 21:25:00
FTP,UP,2025-05-16 01:15:00
FTP,UP,2025-05-15 17:59:00
AUTH,UP,2025-05-13 14:02:00
AUTH,DOWN,2025-04-15 05:12:00
DB,DOWN,2025-04-04 07:08:00
HTTP,UP,2025-04-16 15:03:00
MAIL,UP,2025-03-13 01:17:00
MAIL,UP,2025-05-09 01:24:00
FTP,UP,2025-03-22 10:52:00
HTTP,DOWN,2025-03-26 15:56:00
AUTH,UP,2025-03-25 08:22:00
HTTP,UP,2025-04-23 08:39:00
HTTP,DOWN,2025-04-20 04:53:00
MAIL,UP,2025-04-23 15:36:00
HTTP,UP,2025-05-04 15:26:00
HTTP,UP,2025-05-07 19:32:00
HTTP,DOWN,2025-05-09 22:10:00
HTTP,DOWN,2025-03-17 11:33:00
AUTH,UP,2025-04-12 19:10:00
AUTH,UP,2025-03-24 09:43:00
HTTP,DOWN,2025-03-29 17:55:00
FTP,UP,2025-04-06 09:39:00
AUTH,DOWN,2025-03-16 16:32:00
FTP,UP,2025-03-29 09:43:00
FTP,UP,2025-04-29 11:01:00
AUTH,UP,2025-03-12 23:38:00
HTTP,DOWN,2025-04-22 13:02:00
HTTP,DOWN,2025-03-22 09:23:00
FTP,UP,2025-03-25 14:13:00
HTTP,DOWN,2025-03-12 10:41:00
AUTH,DOWN,2025-03-30 09:02:00
MAIL,DOWN,2025-03-14 11:43:00
MAIL,UP,2025-05-15 09:44:00
DB,DOWN,2025-04-21 23:55:00
DB,UP,2025-03-25 04:03:00
HTTP,DOWN,2025-04-14 10:03:00
DB,UP,2025-04-17 15:40:00
DB,UP,2025-05-05 03:39:00
MAIL,DOWN,2025-05-04 21:08:00
FTP,DOWN,2025-03-09 20:52:00
FTP,UP,2025-04-11 08:49:00
HTTP,UP,2025-03-26 01:51:00
HTTP,UP,2025-03-27 23:23:00
AUTH,UP,2025-04-20 14:26:00
MAIL,DOWN,2025-04-09 04:51:00
MAIL,DOWN,2025-05-04 10:16:00
HTTP,UP,2025-03-14 11:10:00
DB,DOWN,2025-03-11 16:50:00
FTP,DOWN,2025-04-13 20:42:00
FTP,UP,2025-03-08 08:48:00
MAIL,DOWN,2025-03-11 06:15:00
MAIL,DOWN,2025-03-26 23:32:00
DB,UP,2025-03-13 01:08:00
MAIL,DOWN,2025-03-17 00:30:00
HTTP,UP,2025-03-25 10:28:00
FTP,UP,2025-05-02 08:10:00
DB,DOWN,2025-04-29 04:21:00
DB,UP,2025-04-03 07:09:00
MAIL,UP,2025-04-01 02:14:00
HTTP,UP,2025-03-29 12:01:00
